id,title,authors,journal,month,year,publication_type
7174,Modeling and Language Support for the Management of Pattern-Bases ,"Manolis Terrovitis, Panos Vassiliadis, Spiros Skiadopoulos, Elisa Bertino",,,,
7175,Modeling and language support for the management of pattern-bases.,"Manolis Terrovitis, Panos Vassiliadis, Spiros Skiadopoulos, Elisa Bertino, Barbara Catania, Anna Maddalena, Stefano Rizzi",Data Knowl. Eng.,,2007,article
7176,Modeling and language support for the management of pattern-bases q,"Manolis Terrovitis A, Panos Vassiliadis B, Spiros Skiadopoulos C, Elisa Bertino D, Barbara Catania E, Anna Maddalena E, Stefano Rizzi F",,,2006,
7177,Privacy-preserving collaborative association rule mining.,"Justin Zhijun Zhan, Stan Matwin, LiWu Chang",J. Network and Computer Applications,,2007,article
7178,Privacy-Preserving Collaborative Association Rule Mining.,"Justin Zhijun Zhan, Stan Matwin, LiWu Chang",,,2005,inproceedings
7179,Privacy-Preserving Collaborative Association Rule Mining.,"Justin Zhijun Zhan, Stan Matwin, Nathalie Japkowicz, LiWu Chang",,,2004,inproceedings
7180,Privacy-Preserving Collaborative Association Rule Mining,"Justin Zhan, Stan Matwin, Liwu Chang",,,,
7181,A Framework for Password-Based Authenticated Key Exchange ,"Rosario Gennaro, Yehuda Lindell",,,,
7182,A Framework for Password-Based Authenticated Key Exchange.,"Rosario Gennaro, Yehuda Lindell",,,2003,inproceedings
7183,A Framework for Password-Based Authenticated,"Key Exchange, Rosario Gennaro, Yehuda Lindell",,,2004,
7184,A Framework for Password-Based Authenticated Key Exchange #,"Rosario Gennaro, Yehuda Lindell",,,,
7185,A Framework for Password-Based Authenticated Key Exchange.,"Rosario Gennaro, Yehuda Lindell",IACR Cryptology ePrint Archive,,2003,article
7186,A framework for password-based authenticated key exchange1.,"Rosario Gennaro, Yehuda Lindell",ACM Trans. Inf. Syst. Secur.,,2006,article
7187,A Structure-Based Search Engine for Phylogenetic Databases.,"Huiyuan Shan, Katherine G. Herbert, William H. Piel, Dennis Shasha, Jason Tsong-Li Wang",,,2002,inproceedings
7188,A Structure-Based Search Engine for Phylogenetic Databases,"Huiyuan Shan, Katherine G. Herbert",,,,
7189,A Structure-Based Search Engine for Phylogenetic Databases,"Huiyuan Shan, Katherine G. Herbert, William H. Piel, Dennis Shasha, Jason T. L. Wang",,,,
7190,View Independent Video-Based Face Recognition Using Posterior Probability in Kernel Fisher Discriminant Space,Kazuhiro Hotta,,,,
7191,View Independent Video-Based Face Recognition Using Posterior Probability in Kernel Fisher Discriminant Space.,Kazuhiro Hotta,,,2005,inproceedings
7192,A View Independent Video-Based Face Recognition Method Using Posterior Probability in Kernel Fisher Discriminant Space.,Kazuhiro Hotta,IEICE Transactions,,2006,article
7193,Theory and Practice in AI and Law: A Response to Branting,"Katie Atkinson, Trevor Bench-capon",,,,
7194,Theory and Practice in AI and Law: A Response to Branting,"Katie Atkinson, Trevor Bench-capon",,,,
7195,Theory and Practice in AI and Law: A Response to Branting.,"Katie Atkinson, Trevor J. M. Bench-Capon",,,2005,inproceedings
7196,Abstract Implementing CCS in Maude 2 ,"Alberto Verdejo, Narciso Mart-oliet",,,,
7197,Implementing CCS in Maude.,"Alberto Verdejo, Narciso Mart-Oliet",,,2000,inproceedings
7198,Implementing CCS in Maude 2,Alberto Verdejo,,,,
7199,IMPLEMENTING CCS IN MAUDE,"Alberto Verdejo, Narciso Mart-oliet",,,,
7200,Implementing CCS in Maude 2.,"Alberto Verdejo, Narciso Mart-Oliet",Electr. Notes Theor. Comput. Sci.,,2002,article
7201,Incorporating Semantics in Scientific Workflow Authoring.,"Chad Berkley, Shawn Bowers, Matthew B. Jones, Bertram Ludscher, Mark Schildhauer, Jing Tao",,,2005,inproceedings
7202,Incorporating Semantics in Scientific Workflow Authoring,"Chad Berkley, Shawn Bowers, Matthew B. Jones, Bertram Ludscher, Mark Schildhauer, Jing Tao",,,,
7203,Incorporating Semantics in Scientific Workflow Authoring,"Chad Berkley, Shawn Bowers, Matthew B. Jones, Bertram Ludscher, Mark Schildhauer, Jing Tao",,,,
7204,Intelligent System for Breast Cancer Prognosis using Multiwavelet Packets and Neural Network,"Sepehr M. H. Jamarani, M. H. Moradi, H. Behnam, G. A. Rezai Rad",,,,
7205,Intelligent System for Breast Cancer Prognosis using Multiwavelet Packets and Neural Network.,"Sepehr M. H. Jamarani, Mohammad Hassan Moradi, H. Behnam, G. A. Rezai Rad",,,2005,inproceedings
7206,Intelligent System for Breast Cancer Prognosis using Multiwavelet Packets and Neural Network,"Sepehr M. H. Jamarani, M. H. Moradi, H. Behnam, G. A. Rezai Rad",,,,
7207,Intelligent System for Breast Cancer Prognosis using Multiwavelet Packets and Neural Network,"Sepehr M. H. Jamarani, M. H. Moradi, H. Behnam, G. A. Rezai Rad",,,,
7208,"Monotone Maps, Sphericity and Bounded Second Eigenvalue","Yonatan Bilu, Nati Linial",,,2008,
7209,"Monotone Maps, Sphericity and Bounded Second Eigenvalue","Yonatan Bilu, Nati Linial",,,,
7210,"Monotone maps, sphericity and bounded second eigenvalue.","Yonatan Bilu, Nathan Linial","J. Comb. Theory, Ser. B",,2005,article
7211,Abstract Painting in High Dynamic Range,"M. Colbert A, E. Reinhard B, C. E. Hughes A",,,2006,
7212,Painting in High Dynamic Range,"Mark Colbert, Erik Reinhard, Charles E. Hughes",,,2006,
7213,Abstract Painting in High Dynamic Range,"M. Colbert A, E. Reinhard B, C. E. Hughes A",,,2006,
7214,Painting in High Dynamic Range.,"Mark Colbert, E. Reinhard, Charles E. Hughes",J. Visual Communication and Image Representation,,2007,article
7215,Wrapping Legacy Codes for Grid-Based Applications,"Yan Huang, Ian Taylor, David W. Walker Robert Davies",,,,
7216,Wrapping Legacy Codes for Grid-Based Applications.,"Yan Huang, Ian Taylor, David W. Walker, Robert Davies",,,2003,inproceedings
7217,Wrapping Legacy Codes for Grid-Based Applications,"Yan Huang, Ian Taylor, David W. Walker",,,,
7218,MetaCDN: Harnessing 'Storage Clouds' for high performance content delivery.,"James Broberg, Rajkumar Buyya, Zahir Tari",J. Network and Computer Applications,,2009,article
7219,MetaCDN: Harnessing Storage Clouds  for high performance content delivery,"James Broberg, Rajkumar Buyya, Zahir Tari",,,,
7220,MetaCDN: Harnessing Storage Clouds for High Performance Content Delivery.,"James Broberg, Zahir Tari",,,2008,inproceedings
7221,A Complete Axiomatization for Prefix Iteration in Branching Bisimulation,Wan Fokkink,,,,
7222,A Complete Axiomatization for Prefix Iteration in Branching Bisimulation,Wan Fokkink,,,,
7223,A Complete Axiomatization for Prefix Iteration in Branching Bisimulation.,Wan Fokkink,Fundam. Inform.,,1996,article
7224,A Complete Axiomatization for Prefix Iteration in Branching Bisimulation,Wan Fokkink,,,,
7225,Providing Temporal Support in Data Base Management Systems for Global Change Research.,"Ke Qiu, Nabil I. Hachem, Matthew O. Ward, Michael A. Gennert",,,1992,inproceedings
7226,Providing Temporal Support in Data Base Management Systems for Global Change Research,"Ke Qiu, Nabil I. Hachem, Matthew O. Ward, Michael A. Gennert",,,,
7227,Providing Temporal Support in Data Base Management Systems for Global Change Research,"Ke Qiu, Nabil I. Hachem, Matthew O. Ward, Michael A. Gennert",,,,
7228,Providing Temporal Support in Data Base Management Systems for,"Ke Qiu, Nabil I. Hachem, Matthew O. Ward, Michael A. Gennert",,,,
7229,Designing Sound for a Pervasive Mobile Game,"Inger Ekman, Jussi Lahti, Jani Nummela, Petri Lankoski, Frans Myr",,,,
7230,Designing Immersive Sound for a Pervasive Mobile Game.,"Inger Ekman, Jussi Lahti, Jani Nummela, Petri Lankoski, Frans Myr",,,2005,inproceedings
7231,Designing sound for a pervasive mobile game.,"Inger Ekman, Laura Ermi, Jussi Lahti, Jani Nummela, Petri Lankoski, Frans Myr",,,2005,inproceedings
7232,Bayesian Treatment of Incomplete Discrete Data applied to Mutual Information and Feature Selection ,"Marcus Hutter, Marco Zaffalon",,,2003,
7233,Bayesian Treatment of Incomplete Discrete Data applied to Mutual Information and Feature Selection ,"Marcus Hutter, Marco Zaffalon",,,2003,
7234,Bayesian Treatment of Incomplete Discrete Data applied to Mutual Information and Feature Selection ,"Marcus Hutter, Marco Zaffalon",,,2003,
7235,Bayesian Treatment of Incomplete Discrete Data Applied to Mutual Information and Feature Selection.,"Marcus Hutter, Marco Zaffalon",,,2003,inproceedings
7236,Bayesian Treatment of Incomplete Discrete Data applied to Mutual Information and Feature Selection,"Marcus Hutter, Marco Zaffalon",,,,
7237,Bayesian Treatment of Incomplete Discrete Data applied to Mutual Information and Feature Selection,"Marcus Hutter, Marco Zaffalon",CoRR,,2003,article
7238,AutoPart: Automating Schema Design for Large Scientific Databases Using Data Partitioning.,"Stratos Papadomanolakis, Anastassia Ailamaki",,,2004,inproceedings
7239,AutoPart: Automating Schema Design for Large Scientific Databases Using Data Partitioning,"Stratos Papadomanolakis, Anastassia Ailamaki",,,,
7240,AutoPart: Automating Schema Design for Large Scientific Databases Using Data Partitioning,"Stratos Papadomanolakis, Anastassia Ailamaki",,,,
7241,AutoPart: Automating Schema Design for Large Scientific Databases Using Data Partitioning,"Stratos Papadomanolakis, Anastassia Ailamaki",,,,
7242,AutoPart: Automating Schema Design for Large Scientific Databases Using Data Partitioning,"Stratos Papadomanolakis, Anastassia Ailamaki",,,,
7243,AutoPart: Automating Schema Design for Large Scientific Databases Using Data Partitioning,"Efstratios Papadomanolakis, Anastassia Ailamaki",,,2003,
7244,Agent-Based Virtual Organisations for the Grid,"Jigar Patel, W. T. Luke Teacy, Nicholas R. Jennings, Michael Luck, Stuart Chalmers, Gareth Shercliff, Patrick J. Stockreisser, Jianhua Shao, W. Alex Gray, Nick J. Fiddian",,,,
7245,Agent-based virtual organisations for the Grid.,"Jigar Patel, W. T. Luke Teacy, Nicholas R. Jennings, Michael Luck, Stuart Chalmers, Nir Oren, Timothy J. Norman, Alun D. Preece, Peter M. D. Gray, Gareth Shercliff, Patrick J. Stockreisser, Jianhua Shao, W. A. Gray, N. J. Fiddian, Simon G. Thompson",,,2005,inproceedings
7246,Agent-Based Virtual Organisations for the Grid,"Jigar Patel, W T Luke Teacy, Nicholas R Jennings, Michael Luck, Stuart Chalmers, Gareth Shercliff, Patrick J Stockreisser, Jianhua Shao, W Alex Gray, Nick J Fiddian, Simon Thompson",,,,
7247,Agent-Based Virtual Organisations for the Grid,"Jigar Patel, W. T. Luke Teacy, Nicholas R. Jennings, Michael Luck, Nir Oren, Timothy J. Norman, Alun Preece, Peter M. D. Gray, Patrick J. Stockreisser, Jianhua Shao, W. Alex Gray, Nick J. Fiddian, Simon Thompson",,,,
7248,Agent-Based Virtual Organisations for the Grid,"Jigar Patel, W T Luke Teacy, Nicholas R Jennings, Michael Luck, Stuart Chalmers, Gareth Shercliff, Patrick J Stockreisser, Jianhua Shao, W Alex Gray, Nick J Fiddian, Simon Thompson",,,,
7249,Agent-Based Virtual Organisations for the Grid,"Jigar Patel, W. T. Luke Teacy, Nicholas R. Jennings, Michael Luck, Nir Oren, Timothy J. Norman, Alun Preece, Peter M. D. Gray, Patrick J. Stockreisser, Jianhua Shao, W. Alex Gray, Nick J. Fiddian, Simon Thompson",,,,
7250,Agent-Based Virtual Organisations for the Grid,"Jigar Patel, W. T. Luke Teacy, Nicholas R. Jennings, Michael Luck, Stuart Chalmers, Gareth Shercliff, Patrick J. Stockreisser, Jianhua Shao, W. Alex Gray, Nick J. Fiddian",,,,
7251,Agent-based virtual organisations for the Grid.,"Jigar Patel, W. T. Luke Teacy, Nicholas R. Jennings, Michael Luck, Stuart Chalmers, Nir Oren, Timothy J. Norman, Alun D. Preece, Peter M. D. Gray, Gareth Shercliff, Patrick J. Stockreisser, Jianhua Shao, W. Alex Gray, Nick J. Fiddian, Simon Thompson",Multiagent and Grid Systems,,2005,article
7252,Specifications for Efficient Indexing in Spatiotemporal Databases.,"Yannis Theodoridis, Timos K. Sellis, Apostolos Papadopoulos, Yannis Manolopoulos",,,1998,inproceedings
7253,Specifications for Efficient Indexing in Spatiotemporal Databases,"Yannis Theodoridis, Timos Sellis, Apostolos N. Papadopoulos, Yannis Manolopoulos",,,,
7254,Specifications for Efficient Indexing in Spatiotemporal Databases,"Yannis Theodoridis, Timos Sellis, Apostolos N. Papadopoulos, Yannis Manolopoulos",,,,
7255,Specifications for Efficient Indexing in Spatiotemporal Databases,"Yannis Theodoridis, Timos Sellis, Apostolos N. Papadopoulos, Yannis Manolopoulos",,,,
7256,Remote Access Tool for Earth Science Data.,"Elaine R. Dobinson, Robert G. Raskin",,,1997,inproceedings
7257,Abstract REMOTE ACCESS TOOL FOR EARTH SCIENCE DATA,"Elaine Dobinson, Robert Raskin",,,,
7258,Abstract REMOTE ACCESS TOOL FOR EARTH SCIENCE DATA,"Elaine Dobinson, Robert Raskin",,,,
7259,Favourite sites of simple random walk,"Zhan Shi, Blint Tth",,,2000,
7260,Favourite sites of simple random walk,"Zhan Shi, Blint Tth",,,,
7261,Favourite sites of simple random walk.,"Zhan Shi, Blint Tth",Periodica Mathematica Hungarica,,2000,article
7262,Using Case-Base Data to Learn Adaptation Knowledge for Design ,"Jacek Jarmulak, Susan Craw",,,,
7263,Using Case-Base Data to Learn Adaptation Knowledge for Design.,"Jacek Jarmulak, Susan Craw, Ray Rowe",,,2001,inproceedings
7264,reserved. Using Case-Base Data to Learn Adaptation Knowledge for Design,"Jacek Jarmulak, Susan Craw",,,,
7265,MoBIoS: A Metric-Space DBMS to Support Biological Discovery.,"Daniel P. Miranker, Weijia Xu, Rui Mao",,,2003,inproceedings
7266,Abstract MoBIoS: A Metric-Space DBMS to Support Biological Discovery 1,"Daniel Miranker, Weijia Xu, Rui Mao",,,,
7267,Abstract MoBIoS: A Metric-Space DBMS to Support Biological Discovery 1,"Daniel Miranker, Weijia Xu, Rui Mao",,,,
7268,Polynomial Time Quantum Computation with Advice ,"Harumichi Nishimura, Tomoyuki Yamakami",,,2004,
7269,Polynomial time quantum computation with advice,"Harumichi Nishimura, Tomoyuki Yamakami",CoRR,,2003,article
7270,Polynomial time quantum computation with advice,"Harumichi Nishimura, Tomoyuki Yamakami",Electronic Colloquium on Computational Complexity (ECCC),,2003,article
7271,Polynomial time quantum computation with advice.,"Harumichi Nishimura, Tomoyuki Yamakami",Inf. Process. Lett.,,2004,article
7272,Adaptive Wavelet Density Estimators over Data Streams.,"Christoph Heinz, Bernhard Seeger",,,2007,inproceedings
7273,Wavelet density estimators over data streams.,"Christoph Heinz, Bernhard Seeger",,,2005,inproceedings
7274,Wavelet Density Estimators over Data Streams,"Christoph Heinz, Bernhard Seeger",,,,
7275,ABSTRACT POSTER ABSTRACT Wavelet Density Estimators over Data Streams ,Christoph Heinz,,,,
7276,Abstract Support for Distributed Pair Programming in the Transparent Video Facetop,"David Stotts, Jason Mcc Smith, Karl Gyllstrom, David Stotts, Jason Mcc Smith, Karl Gyllstrom",,,2004,
7277,Support for Distributed Pair Programming in the Transparent Video Facetop.,"P. David Stotts, Jason McC. Smith, Karl Gyllstrom",,,2004,inproceedings
7278,Support for Distributed Pair Programming in the Transparent Video Facetop,"David Stotts, Jason Mcc Smith, Karl Gyllstrom",,,,
7279,CANDID: Comparison Algorithm for Navigating Digital Image Databases.,"Patrick M. Kelly, T. Michael Cannon",,,1994,inproceedings
7280,Experience with CANDID: Comparison algorithm for navigating digital image databases,"Patrick Kelly, Michael Cannon",,,,
7281,CANDID: Comparison Algorithm for Navigating Digital Image Databases,"P. M. Kelly, T. M. Cannon",,,,
7282,Experience with CANDID: Comparison algorithm for navigating digital image databases,Patrick Kelly Michael Cannon,,,,
7283,CANDID: Comparison Algorithm for Navigating Digital Image Databases,"P. M. Kelly, T. M. Cannon",,,,
7284,An effective learning method for max-min neural networks,Loo-nin Teow,,,,
7285,An effective learning method for max-min neural networks,"Loo-nin Teow, Kia-fock Loe",,,,
7286,An Effective Learning Method for Max-Min Neural Networks.,"Loo-Nin Teow, Kia-Fock Loe",,,1997,inproceedings
7287,Master-Element Vector Irradiance for Large Tessellated Models,"Grgory Lecot, Bruno Lvy, Inria Lorraine, Laurent Alonso, Inria Lorraine, Jean-claude Paul",,,,
7288,Master-element vector irradiance for large tessellated models.,"Grgory Lecot, Bruno Lvy, Laurent Alonso, Jean-Claude Paul",,,2005,inproceedings
7289,Master-Element Vector Irradiance for Large Tessellated Models,"Grgory Lecot, Bruno Lvy, Inria Lorraine, Laurent Alonso, Inria Lorraine, Jean-claude Paul",,,,
7290,pCube: Update-Efficient Online Aggregation with Progressive Feedback and Error Bounds.,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",,,2000,inproceedings
7291,pCube: Update-Efficient Online Aggregation with Progressive Feedback and Error Bounds,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",,,,
7292,pCube: Update-Efficient Online Aggregation with Progressive Feedback and Error Bounds,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",,,,
7293,pCube: Update-Efficient Online Aggregation with Progressive Feedback and Error Bounds,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",,,,
7294,Grid-Based Metadata Services.,"Ewa Deelman, Gurmeet Singh, Malcolm P. Atkinson, Ann L. Chervenak, Neil P. Chue Hong, Carl Kesselman, Sonal Patil, Laura Pearlman, Mei-Hui Su",,,2004,inproceedings
7295,Grid-Based Metadata Services,"Ewa Deelman, Gurmeet Singh, Malcolm P. Atkinson, Ann Chervenak, Neil P Chue, Carl Kesselman, Sonal Patil, Laura Pearlman, Mei-hui Su",,,,
7296,Grid-Based Metadata Services,"Ewa Deelman, Gurmeet Singh, Malcolm P. Atkinson, Ann Chervenak, Neil P Chue, Carl Kesselman, Sonal Patil, Laura Pearlman, Mei-hui Su",,,,
7297,Grid-Based Metadata Services,"Ewa Deelman, Gurmeet Singh, Malcolm P. Atkinson, Ann Chervenak, Neil P Chue, Carl Kesselman, Sonal Patil, Laura Pearlman, Mei-hui Su",,,,
7298,Specifying process-oriented hypertext for organizational computing.,"John Noll, Walt Scacchi",J. Network and Computer Applications,,2001,article
7299,Specifying process-oriented hypertext for organizational,"John Noll, Walt Scacchi",,,1999,
7300,Specifying Process-Oriented Hypertext for Organizational Computing,"John Noll, Walt Scacchi",,,,
7301,User Study Techniques in the Design and Evaluation of a Ubicomp Environment,"Sunny Consolvo, Larry Arnstein, B. Robert Franza",,,,
7302,User Study Techniques in the Design and Evaluation of a Ubicomp Environment,"S. Consolvo, L. Arnstein, B. Franza, Sunny Consolvo, Larry Arnstein, B. Robert Franza",,,,
7303,User Study Techniques in the Design and Evaluation of a Ubicomp Environment.,"Sunny Consolvo, Larry Arnstein, B. Robert Franza",,,2002,inproceedings
7304,Abstract Range Counting over Multidimensional Data Streams ,Subhash Suri,,,,
7305,Range Counting over Multidimensional Data Streams.,"Subhash Suri, Csaba D. Tth, Yunhong Zhou",Discrete & Computational Geometry,,2006,article
7306,Range Counting over Multidimensional Data Streams,"Subhash Suri, Csaba D. T'oth, Yunhong Zhou",,,,
7307,Range counting over multidimensional data streams.,"Subhash Suri, Csaba D. Tth, Yunhong Zhou",,,2004,inproceedings
7308,Image Statistics based on Diffeomorphic Matching,"Jean-yves Audibert, Guillaume Charpiat, Olivier Faugeras, Renaud Keriven, Guillaume Charpiat, Olivier Faugeras",,,2005,
7309,Image Statistics Based on Diffeomorphic Matching.,"Guillaume Charpiat, Olivier D. Faugeras, Renaud Keriven",,,2005,inproceedings
7310,Image Statistics based on Diffeomorphic Matching,Guillaume Charpiat,,,,
7311,Dynamic Ordered Sets with Exponential Search Trees ,"Arne Andersson, Mikkel Thorup",,,,
7312,Dynamic Ordered Sets with Exponential Search Trees,"Arne Andersson, Mikkel Thorup",CoRR,,2002,article
7313,Dynamic ordered sets with exponential search trees.,"Arne Andersson, Mikkel Thorup",J. ACM,,2007,article
7314,Using Workflow Medleys to Streamline Exploratory Tasks.,"Emanuele Santos, David Koop, Huy T. Vo, Erik W. Anderson, Juliana Freire, Cludio T. Silva",,,2009,inproceedings
7315,Using Workflow Medleys to Streamline Exploratory Tasks,"Emanuele Santos, David Koop, Huy T. Vo, Erik W. Anderson, Cludio Silva",,,,
7316,Using Workflow Medleys to Streamline Exploratory Tasks,"Emanuele Santos, David Koop, Huy T. Vo, Erik W. Anderson, Cludio Silva",,,,
7317,Abstract Mechanisms for Secure Modular Programming in Java,"Lujo Bauer, Edward W. Felten",,,,
7318,Abstract Mechanisms for Secure Modular Programming in Java,"Lujo Bauer, Edward W. Felten",,,,
7319,Mechanisms for secure modular programming in Java,"Lujo Bauer, Edward W. Felten",,,,
7320,Mechanisms for secure modular programming in Java.,"Lujo Bauer, Andrew W. Appel, Edward W. Felten","Softw., Pract. Exper.",,2003,article
7321,Eliminating Class Noise in Large Datasets,"Xingquan Zhu, Xindong Wu, Qijun Chen",,,,
7322,Eliminating Class Noise in Large Datasets,"Xingquan Zhu, Xindong Wu, Qijun Chen",,,,
7323,Eliminating Class Noise in Large Datasets.,"Xingquan Zhu, Xindong Wu, Qijun Chen",,,2003,inproceedings
7324,Inter-Organisational Controls as Value Objects in Network Organisations,"Vera Kartseva, Jaap Gordijn, Yao-hua Tan",,,,
7325,Inter-organisational Controls as Value Objects in Network Organisations.,"Vera Kartseva, Jaap Gordijn, Yao-Hua Tan",,,2006,inproceedings
7326,Inter-Organisational Controls as Value Objects in Network Organisations,"Vera Kartseva, Jaap Gordijn, Yao-hua Tan",,,,
7327,MOTION ESTIMATION IN X-RAY IMAGE SEQUENCES WITH BI-DISTRIBUTED TRANSPARENCY,"V. Auvray, P. Bouthemy, J. Linard",,,,
7328,Motion Estimation in X-Ray Image Sequences with Bi-Distributed Transparency.,"Vincent Auvray, Patrick Bouthemy, Jean Linard",,,2006,inproceedings
7329,MOTION ESTIMATION IN X-RAY IMAGE SEQUENCES WITH BI-DISTRIBUTED TRANSPARENCY,"V. Auvray, P. Bouthemy, J. Linard",,,,
7330,IMPLEMENTATION OF A FULLY-BALANCED PERIODIC TRIDIAGONAL SOLVER ON A PARALLEL DISTRIBUTED MEMORY ARCHITECTURE,"T. M. Eidson, G. Erlebacher, G. Erlebacher T",,,,
7331,IMPLEMENTATION OF A FULLY-BALANCED PERIODIC TRIDIAGONAL SOLVER ON A PARALLEL DISTRIBUTED MEMORY ARCHITECTURE,"T. M. Eidson, G. Erlebacher",,,,
7332,Implementation of a fully balanced periodic tridiagonal solver on a parallel distributed memory architecture.,"Thomas Eidson, Gordon Erlebacher",Concurrency - Practice and Experience,,1995,article
7333,Developing and Accessing Scientific Databases with the Object-Protocol (OPM) Data Management Tools,"I-Min A. Chen, Anthony Kosky, Victor M. Markowitz, Ernest Szeto",,,1997,inproceedings
7334,Developing and Accessing Scientific Databases with the Object-Protocol Model (OPM) Data Management Tools,"I-min A. Chen, Anthony S. Kosky, Victor M. Markowitz, Ernest Szeto",,,,
7335,Developing and Accessing Scientific Databases with the OPM Data Management Tools.,"I-Min A. Chen, Anthony Kosky, Victor M. Markowitz, Ernest Szeto",,,1997,inproceedings
7336,FAST CONVERGENCE OF QUASI-MONTE CARLO FOR A CLASS OF ISOTROPIC INTEGRALS,A. Papageorgiou,,,,
7337,FAST CONVERGENCE OF QUASI-MONTE CARLO FOR A CLASS OF ISOTROPIC INTEGRALS,A. Papageorgiou,,,,
7338,Fast Convergence of Quasi-Monte Carlo for a Class of Isotropic Integrals,A. Papageorgiou,,,1999,
7339,Fast convergence of quasi-Monte Carlo for a class of isotropic integrals.,Anargyros Papageorgiou,Math. Comput.,,2001,article
7340,Retargetable Program Profiling Using High Level Processor Models,"Rajiv Ravindran, Rajat Moona",,,,
7341,Retargetable Program Profiling Using High Level Processor Models,"Rajiv Ravindran, Rajat Moona",,,,
7342,Retargetable Program Profiling Using High Level Processor Models.,"Rajiv A. Ravindran, Rajat Moona",,,2001,inproceedings
7343,Second Preimage Attacks on Dithered Hash Functions,"Elena Andreeva, Charles Bouillaguet, Pierre-alain Fouque, Jonathan J. Hoch, John Kelsey, Adi Shamir, Sebastien Zimmer",,,,
7344,Second Preimage Attacks on Dithered Hash Functions.,"Elena Andreeva, Charles Bouillaguet, Pierre-Alain Fouque, Jonathan J. Hoch, John Kelsey, Adi Shamir, Sbastien Zimmer",,,2008,inproceedings
7345,Second Preimage Attacks on Dithered Hash Functions,"Charles Bouillaguet, Pierre-alain Fouque, Adi Shamir, Sebastien Zimmer",,,,
7346,Second Preimage Attacks on Dithered Hash Functions,"Elena Andreeva, Charles Bouillaguet, Pierre-alain Fouque, Jonathan J. Hoch, John Kelsey, Adi Shamir, Sebastien Zimmer",,,,
7347,Second Preimage Attacks on Dithered Hash Functions,"Elena Andreeva, Charles Bouillaguet, Pierre-alain Fouque, Jonathan J. Hoch, John Kelsey, Adi Shamir, Sebastien Zimmer",,,,
7348,Second Preimage Attacks on Dithered Hash Functions,"Elena Andreeva, Charles Bouillaguet, Pierre-alain Fouque, Jonathan J. Hoch, John Kelsey, Adi Shamir, Sebastien Zimmer",,,,
7349,New Second Preimage Attacks on Hash Functions ,"Elena Andreeva, Charles Bouillaguet, Orr Dunkelman, Pierre-alain Fouque, Jonathan J. Hoch, John Kelsey, Adi Shamir, Sebastien Zimmer",,,,
7350,Second Preimage Attacks on Dithered Hash Functions.,"Charles Bouillaguet, Pierre-Alain Fouque, Adi Shamir, Sbastien Zimmer",IACR Cryptology ePrint Archive,,2007,article
7351,A Computational Approach to Discover Differential Cooperation of Regulatory Sites in Functionally Related Genes in Yeast Genome,"Hsien-da Huang, Jorng-tzong Horng, Chia-hui Chang, Tsung-shan Tsou, Jing-yue Hong, Baw-jhiune Liu",,,2002,
7352,63. A Computational Approach to Discover Differential Cooperation of Regulatory Sites in Functionally Related Genes in Yeast Genome,"Hsien-da Huang, Jorng-tzong Horng, Jing-yue Hong, Baw-jhiune Liu",,,,
7353,A Computational Approach to Discover Differential Cooperation of Regulartory Sites in Functionally Related Genes in Yeast Genome.,"Hsien-Da Huang, Jorng-Tzong Horng, Chia-Hui Chang, Tsung-Shan Tsou, Jing-Yue Hong, Baw-Jhiune Liu",J. Inf. Sci. Eng.,,2004,article
7354,Performance of TCP/UDP under Ad Hoc IEEE802.11,"Milenko Petrovic, Mokhtar Aboelaze",,,2003,
7355,Performance of TCP/UDP under Ad Hoc IEEE802.11,"Milenko Petrovic, Mokhtar Aboelaze",,,,
7356,Performance of TCP/UDP under Ad Hoc IEEE802.11,"Milenko Petrovic, Mokhtar Aboelaze",CoRR,,2003,article
7357,"Accurate, Fast and Stable Denoising Source Separation Algorithms","Harri Valpola, Jaakko Srel",,,,
7358,"Accurate, Fast and Stable Denoising Source Separation Algorithms.","Harri Valpola, Jaakko Srel",,,2004,inproceedings
7359,"Accurate, fast and stable denoising source separation","Harri Valpola, Jaakko Srel",,,,
7360,A Hierarchy Navigation Framework: Supporting Scalable Interactive Exploration over Large Databases APPROVED:,Nishant K. Mehta,,,2004,
7361,A Hierarchy Navigation Framework: Supporting Scalable Interactive Exploration over Large Databases.,"Nishant K. Mehta, Elke A. Rundensteiner, Matthew O. Ward",,,2005,inproceedings
7362,A Hierarchy Navigation Framework: Supporting Scalable Interactive Exploration over Large Databases,"Nishant K. Mehta, Elke A. Rundensteiner, Matthew O. Ward",,,,
7363,"Model Minimization, Regression, and Propositional STRIPS Planning","Robert Givan, Thomas Dean",,,,
7364,"Model Minimization, Regression, and Propositional STRIPS Planning","Robert Givan, Thomas Dean",,,,
7365,"Model Minimization, Regression, and Propositional STRIPS Planning.","Robert Givan, Thomas L. Dean",,,1997,inproceedings
7366,Extending Multi-Agent Cooperation by Overhearing,"Paolo Busetta, Luciano Serafini, Dhirendra Singh, Floriano Zini",,,,
